VDS,Peak-period,N,$log\tilde{\alpha}$,t-statistic (tilde_alpha),p-value (tilde_alpha),$N_0$,$\beta$,t-statistic (beta),p-value (beta),R-square,MAE,jb_stat,jb_p,reset_stat,reset_p,link_t,link_p,median,mean
SR91-WB,AM,0,,,,,,,,,,,,,,,,,
SR91-WB,PM,21,-3.2449939350572397,-5.608391543241875,2.0813177931579893e-05,37.23822843425247,0.3726150943675244,5.888666241493133,1.138185450888865e-05,0.6460268664995417,0.12464825781961263,1.2303020787355607,0.5405592434167732,0.27481267764825046,0.7630256003857653,-0.6088261153303364,0.5502468549324473,93.0,111.39285714285714
SR91-EB,AM,19,-8.431254254514913,-6.724145908186246,3.565775792010255e-06,898.8424728412539,0.960745582529356,6.874950327303535,2.692684936030184e-06,0.735470079483846,0.22077933473474234,0.8719787250374007,0.6466246043559919,3.0328753674534656,0.07831724207089792,-1.86262059705724,0.08098109621318153,96.66666666666667,92.12280701754385
SR91-EB,PM,13,-6.661828795164125,-4.58322766891297,0.0007861801108745468,762.9698011405604,0.717877352564483,4.763568537921732,0.0005867232429037471,0.6735089806653966,0.21418195461419717,3.284078718810153,0.19358485037339224,0.6285647906555093,0.5552326581945751,-1.1799679844339215,0.26532101105698297,201.66666666666666,168.42948717948718
I5 SB-1,AM,17,-6.543353206207285,-6.416464184045161,1.1602718385111913e-05,205.95527205881405,0.872096582101432,7.425161199487842,2.1303983586038288e-06,0.7861207139169747,0.16049112869187213,0.3194978281347915,0.8523577771477637,0.0806760530348013,0.922950667345106,-0.10174734693791956,0.9204001301238046,98.33333333333333,109.8529411764706
I5 SB-1,PM,0,,,,,,,,,,,,,,,,,
I5 SB-2,AM,32,-7.484684821015431,-8.847353000687239,7.311488353168111e-10,664.0456020551914,0.8598435182521955,9.91582559717369,5.56869622920441e-11,0.7662160301191925,0.12426888947211194,0.7202167535115882,0.6976007182713553,0.16454492785157798,0.8490939214281081,-0.4633542058770461,0.6465693048892438,184.16666666666669,175.79947916666669
I5 SB-2,PM,0,,,,,,,,,,,,,,,,,
I5 SB-3,AM,29,-5.273461081251178,-7.83418712613845,2.0092479044875484e-08,264.4637702765038,0.6053280945740221,8.674796530467717,2.731638131747018e-09,0.7359467300799618,0.16558811008878419,0.863092307510845,0.649504084793726,0.4227360712178479,0.6598484951922738,0.35577639077316864,0.7248785001991063,165.0,158.67816091954023
I5 SB-3,PM,0,,,,,,,,,,,,,,,,,
I5 NB-1,AM,0,,,,,,,,,,,,,,,,,
I5 NB-1,PM,21,-13.90961990644009,-3.4238109243228556,0.0028468703514124747,5311.410664012342,1.4004479200277447,3.5717627779978263,0.0020350365162688446,0.40171592926592037,0.15749149071874216,0.3325435195834073,0.8468160723570153,1.0451851523283295,0.37315892552643193,0.3805528445471723,0.7079888092868125,266.6666666666667,268.2142857142858
SR134 WB-1,AM,14,-13.911849566208614,-5.621063082543131,0.00011231615606815871,1263.226404721071,1.6823996118928106,5.834296519116243,8.031894282060213e-05,0.7393515093131078,0.21193937254704573,0.3521617683820065,0.8385501551430823,1.7027522264747617,0.2309852210990467,-0.8991403837599716,0.38783696428833214,71.45833333333334,69.22619047619048
SR134 WB-1,PM,27,-2.126066047527327,-2.4476915017190173,0.021742392409035884,2.116311788540143,0.3053938147558606,3.412542211563755,0.0021970674738227797,0.3177869597062073,0.09667385257802757,0.7581802573069525,0.6844839182722238,0.35643477740212937,0.7039678466531236,-0.4581309321571845,0.6509795555993702,193.33333333333334,196.32716049382714
SR134 EB-1,AM,0,,,,,,,,,,,,,,,,,
SR134 EB-1,PM,39,-4.209619785221811,-4.748240869257025,3.0623127471836324e-05,72.5609357991772,0.539745445736987,5.94990533718411,7.340148554348733e-07,0.4889599713320758,0.14903195685507142,8.088685273358792,0.017521218677422734,3.9625561299041365,0.02810221698349725,-1.9996190348064344,0.05313148521151419,201.66666666666666,227.35042735042734
SR134 EB-2,AM,0,,,,,,,,,,,,,,,,,
SR134 EB-2,PM,10,-3.6448241924517544,-2.279900117660777,0.0520794432018123,40.51495643955545,0.47213923462859186,2.5853006668301446,0.03234859114149601,0.4551811419297995,0.28577714086355344,0.6810100726423135,0.7114109436546832,1.9895988402181322,0.21735361807776335,1.9296156733501706,0.09497604351920584,102.91666666666666,93.91666666666666
